カテゴリ,商品名,SKU,FBA出荷可,FBA合計,CS倉庫良品,CS倉庫確保分,出品者出荷,事務所,総在庫,日販
ハンディファン(首振り),爆風ハンディファン 首振り ブラック,FFDK01,1,2,0,0,243,1732,1977,
ハンディファン(首振り),爆風ハンディファン 首振り ホワイト,FFDK02,2,2,0,0,178,605,785,
ハンディファン(スケルトン),スケルトンファン ホワイト,XAF001,39,40,0,0,0,1396,1436,
ハンディファン(スケルトン),スケルトンファン ブラック,XAF002,19,19,0,0,0,1101,1120,
ハンディファン(スケルトン),スケルトンファン パープル,-,0,0,0,0,0,0,0,
ミニハンディファン,ミニハンディファン パープル,MSF001,0,0,640,0,0,272,912,
ミニハンディファン,ミニハンディファン ブルー(スカイブルー),MSF002,0,0,572,0,0,274,846,
ミニハンディファン,ミニハンディファン ホワイト,MSF003,0,0,1497,0,0,249,1746,
ミニハンディファン,ミニハンディファン グレー,MSF004,0,0,1500,0,0,255,1755,
クリップファン,クリップファン ホワイト,CF001,0,0,0,0,0,1523,1523,
クリップファン,クリップファン グレー,CF002,0,0,0,0,0,1952,1952,
非売品ファン(ノベルティ),非売品ファン グリーン,FD1-G,0,0,1880,0,0,116,1996,
非売品ファン(ノベルティ),非売品ファン ホワイト,FD1-W,0,0,2880,0,0,117,2997,
ドライヤー(TSUYARIS),ドライヤー ホワイト,MPD001,4,4,0,0,0,1570,1574,
ドライヤー(TSUYARIS),ドライヤー グレー,MPD002,43,43,0,0,0,1727,1770,
ドライヤー(TSUYARIS),ドライヤー オリーブ,MPD003,19,19,0,0,0,1563,1582,
ドライヤー(TSUYARIS),ドライヤー ブラック,MPD004,14,14,0,0,0,1735,1749,
フェイスクレンザー(電動洗顔ブラシ),フェイスクレンザー ベージュ,ST-FC001,10,10,0,0,0,981,991,
フェイスクレンザー(電動洗顔ブラシ),フェイスクレンザー オリーブ,ST-FC002,4,4,0,0,0,967,971,
フェイスクレンザー(電動洗顔ブラシ),フェイスクレンザー ブルー,ST-FC003,2,2,0,0,0,947,949,
フェイスクレンザー(電動洗顔ブラシ),フェイスクレンザー ピンク,ST-FC004,5,5,0,0,0,952,957,
フェイスクレンザー(電動洗顔ブラシ),フェイスクレンザー パープル,ST-FC005,5,5,0,0,0,954,959,
フェイスクレンザー(電動洗顔ブラシ),フェイスクレンザー グレー,ST-FC006,0,0,0,0,482,950,1432,
モバイルバッテリー,モバイルバッテリー,mobilebattery001,0,0,35,0,0,2192,2227,
圧縮バッグ3点セット,圧縮バッグ コーラルピンク,-,0,0,0,0,0,156,156,
圧縮バッグ3点セット,圧縮バッグ サンドベージュ,-,0,0,0,0,0,117,117,
圧縮バッグ3点セット,圧縮バッグ アッシュグレー,-,0,0,0,0,0,55,55,
カイロ,カイロ ベージュ,-,0,0,0,0,0,950,950,
カイロ,カイロ ブラック,-,0,0,0,0,0,829,829,
カイロ,カイロ ブラウン,-,0,0,0,0,0,967,967,
キャスター(部品),キャスター オレンジ,-,0,0,0,0,0,13,13,
キャスター(部品),キャスター グリーン,-,0,0,0,0,0,60,60,
