カテゴリ,商品名,SKU,FBA出荷可,FBA合計,CS倉庫良品,CS倉庫確保分,出品者出荷,事務所,総在庫,日販
スーツケースS,エナメルシルバー S,101,0,0,5,0,0,0,5,12.1
スーツケースS,エナメルスカイブルー S,103a,0,0,0,0,0,0,0,0.3
スーツケースS,エナメルホワイト S,105,54,57,167,0,0,1,225,1.4
スーツケースS,マットブラック S,106,58,66,327,0,0,0,393,12.8
スーツケースS,マットシルバー S,107,0,2,24,0,5,0,31,7.8
スーツケースS,マットホワイト S,108,9,9,4,0,0,0,13,5.7
スーツケースS,エナメルピンク S,109,0,0,0,0,0,0,0,
スーツケースS,マットグレー S,110,35,37,78,0,0,0,115,0.6
スーツケースS,エナメルカーキ S,111,0,1,20,0,0,0,21,3.5
スーツケースM,エナメルシルバー M,201,1,2,119,0,30,0,151,4.5
スーツケースM,マットブラック M,206,0,0,177,0,11,0,188,7.3
スーツケースM,マットシルバー M,207,89,106,7,0,0,0,113,5.7
スーツケースM,マットホワイト M,208,54,62,3,0,0,0,65,4.3
スーツケースM,マットグレー M,210,0,0,132,0,25,0,157,0.8
スーツケースM,エナメルカーキ M,211,0,1,7,0,0,0,8,3.3
スーツケースL,エナメルシルバー L,301,58,60,160,0,0,1,221,2.3
スーツケースL,マットブラック L,306,0,1,258,0,24,0,283,2.2
スーツケースL,マットシルバー L,307,0,1,280,0,15,0,296,6.1
スーツケースL,マットホワイト L,308,31,31,50,0,0,0,81,1.1
スーツケースL,マットグレー L,310,0,0,32,0,0,0,32,1.5
クラシックアルミ,クラシックアルミ シルバー S,N_arumi01,121,121,427,0,0,11,559,
クラシックアルミ,クラシックアルミ ブラック S,N_arumi02,32,32,56,0,0,7,95,
多機能アルミ,多機能アルミ シルバー,arumi01,26,26,231,0,0,1,258,
多機能アルミ,多機能アルミ ブラック,arumi02,0,0,0,0,0,4,4,
アウトドア(スキー)スーツケース,アウトドア マットブラック,outdoorsk001,0,0,67,0,13,0,80,
アウトドア(スキー)スーツケース,アウトドア マットシルバー,outdoorsk002,11,11,136,0,0,0,147,
