商品ID,ライン,サイズ,色,仕上げ,Amazon分,良品在庫,引当数,日販,発注点,在庫ステータス,在庫日
101,多機能PC,S,エナメルシルバー,エナメル,50,39,2,12.1,169,僅少,2026-08-02
103,多機能PC,S,エナメルスカイブルー,エナメル,0,3,0,0.3,5,僅少,2026-08-02
105,多機能PC,S,エナメルホワイト,エナメル,90,39,2,1.4,19,適正,2026-08-02
106,多機能PC,S,マットブラック,マット,200,109,5,12.8,180,適正,2026-08-02
107,多機能PC,S,マットシルバー,マット,100,126,2,7.8,109,適正,2026-08-02
108,多機能PC,S,マットホワイト,マット,50,33,0,5.7,80,適正,2026-08-02
110,多機能PC,S,マットグレー,マット,0,3,0,0.6,9,僅少,2026-08-02
111,多機能PC,S,エナメルカーキ,エナメル,30,18,1,3.5,49,僅少,2026-08-02
201,多機能PC,M,エナメルシルバー,エナメル,0,19,1,4.5,64,僅少,2026-08-02
206,多機能PC,M,マットブラック,マット,20,4,1,7.3,102,僅少,2026-08-02
207,多機能PC,M,マットシルバー,マット,0,128,5,5.7,79,適正,2026-08-02
208,多機能PC,M,マットホワイト,マット,0,64,0,4.3,60,適正,2026-08-02
210,多機能PC,M,マットグレー,マット,0,10,0,0.8,11,僅少,2026-08-02
211,多機能PC,M,エナメルカーキ,エナメル,40,48,3,3.3,46,適正,2026-08-02
301,多機能PC,L,エナメルシルバー,エナメル,90,234,0,2.3,32,適正,2026-08-02
306,多機能PC,L,マットブラック,マット,0,5,0,2.2,30,僅少,2026-08-02
307,多機能PC,L,マットシルバー,マット,0,4,0,6.1,85,僅少,2026-08-02
308,多機能PC,L,マットホワイト,マット,0,85,0,1.1,15,適正,2026-08-02
310,多機能PC,L,マットグレー,マット,0,102,0,1.5,21,適正,2026-08-02
