ステータス,出荷日,コンテナ番号,シール番号,PO番号,コンテナタイプ,総数量,総重量,総体積,H B/L番号,M B/L番号,B/Lサレンダー,本船／航海番号,船積港 (POL),荷揚港 (POD),アライバル（入港予定日）,通関予定日,ドレー手配状況,入庫日,発送可能日,備考
通関済,2026-07-23,TWIU4232923,TSF0574898,LM260507,40HQ,1060,6360,66.337,GZTLF2607053,721611071691,済,TS HAKATA 2613N,"SHEKOU, CHINA","OSAKA, JAPAN",2026-08-05,2026-08-14,未手配,,,"通関対応済み。1,060CTN"
通関済,2026-07-24,IAAU1022523,IAAJ645288,LM260507,40HQ,745,5383.5,68.942,GZTLF2607070,A33GX93776,済,INTERASIA RESILIENCE N082,"SHEKOU, CHINA","OSAKA, JAPAN",2026-08-14,2026-08-14,未手配,,,2本口。ドレー14日枠ヘッド手配可
通関済,2026-07-31,IAAU2971329,IAAJ330662,LM260320,20GP,381,,28.792,GZTLF2607070,A33GX93776,済,INTERASIA RESILIENCE N082,"SHEKOU, CHINA","OSAKA, JAPAN",2026-08-14,2026-08-14,未手配,,,No.2と同一BL・2本口
通関済,2026-08-07,WHSU5628824,WHA2335409,LM260507,40HQ,606,5211.6,69.084,GZTLF2608006,025G754677,済,INTERASIA TENACITY N022,"SHEKOU, CHINA","OSAKA, JAPAN",2026-08-16,2026-08-14,未手配,,,HBL受領・3点揃い。CY南港C-9三菱倉庫/FT入港翌日6日
通関済,,ABC-HANDYFAN-AIR,,ABC-HANDYFAN,,1000,,,,,,（空輸/AWB）,,関西国際空港 (KIX),2026-08-12,2026-08-14,未手配,,,ハンディファン緊急(ABC)。⚠FT12h超過→保管料発生見込み
通関済,,SDFU5001174,26060630,ABC-HANDYFAN,,1920,304,1.2,GZTLE2608003,GSPC26044E21Q20,済,PANSTAR MIRACLE 6098E,"SHIDAO, CHINA","OSAKA, JAPAN",2026-08-17,2026-08-14,未手配,,,"ハンディファンF13(LCL)。荷受人REK CO,LTD(岡山)/FREIGHT COLLECT"
通関済,,CAAU8766326,IAAJ099231,LM251008,40HQ,599,5151.4,68.286,,,,,,"OSAKA, JAPAN",,2026-08-14,未手配,,,PCスーツケース(L)。末尾326・通関対応済み
通関済,,IAAU1910400,IAAJ099232,LM251008,40HQ,733,5446.79,64.689,,,,,,"OSAKA, JAPAN",,2026-08-14,未手配,,,PC(S/M)+多機能アルミ(S)。末尾400・通関対応済み
出荷済,2026-08-13,WHSU5830223,WHA2304264,LM260320,40HQ,590,5206.16,66.662,,,,,"SHEKOU, CHINA","OSAKA, JAPAN",,,未手配,,,ノーマルアルミ(M)。BL・アライバル未受領
出荷済,2026-08-17,EITU1030111,EMCGQP1085,LM260320,40GP,1093,5565.34,66.549,,,,,,"OSAKA, JAPAN",,,未手配,,,ジップ多機能PC(S/M+S)。ジップ便NO.1・BL/AN未
出荷済,2026-08-17,CAAU5731521,EMCGQH5685,LM260320,40GP,633,4370.16,68.095,,,,,,"OSAKA, JAPAN",,,未手配,,,ジップ多機能PC+アルミ(S)。ジップ便NO.2・BL/AN未
